id,location,location_name,postcode,address_line,hb,hscp,hscpqf,ca,caqf,int_zone,int_zone_qf,data_zone,data_zone_qf,x_coordinate,y_coordinate,based_on_postcode
139,G596H,Anvil Resource Centre,G31 5ES,"81 Salamanca Street, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001894,NA,S01010052,NA,262798.28,664297.14,NA
140,G598H,Arran Resource Centre,G40 2BJ,"121 Orr Street, Bridgeton, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001894,NA,S01010055,NA,260720,664287,NA
141,G599H,Riverside Resource Centre,G11 6HU,"547 Dumbarton Road, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001954,NA,S01010388,NA,256437.5,666582.25,NA
142,G600H,Festival Business Park,G51 1DH,"150 Brand Street, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001860,NA,S01009862,NA,256359,664655,NA
143,G602H,Eastwood Resource Centre,G76 7QF,"38 Seres Rd, Clarkston, Glasgow",S08000031,S37000011,NA,S12000011,NA,S02001569,NA,S01008382,NA,256703,657579,Yes
144,G603H,Arndale Resource Centre,G15 7TS,"80/90 Kinfauns Drive, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001976,NA,S01010499,NA,253194,670969,NA
145,G605H,Bridgeview Resource Centre,G20 9PX,"The Quadrangle, 49 Ruchill Street, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001941,NA,S01010319,NA,257362,668359,Yes
146,G607H,Woodlands Resource Centre,G66 2HL,"15-17 Waterloo Close, Kirkintilloch",S08000031,S37000009,NA,S12000045,NA,S02001527,NA,S01008135,NA,265957.5,674018.06,NA
147,G608H,2-4 Waterloo Close,G66 2HL,"2-4 Waterloo Close, Kirkintilloch",S08000031,S37000009,NA,S12000045,NA,S02001527,NA,S01008135,NA,265860,674033,Yes
148,G609H,The Orchards,G20 7SJ,"135 Panmure Street, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001940,NA,S01010314,NA,258240,668030,Yes
149,G610H,Pineview,G61 1QN,"Switchback Road, Bearsden, Glasgow",S08000031,S37000009,NA,S12000045,NA,S02001515,NA,S01008072,NA,254720,670969,Yes
150,G611H,Netherton,G13 1AL,"19 Blackwood Street, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001971,NA,S01010472,NA,254355,669329,Yes
151,G612H,Rowanbank Clinic,G21 3UL,"Balornock Road, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001919,NA,S01010198,NA,261622,668716,Yes
152,G613H,Skye House,G21 3UZ,"133 Balornock Road, Glasgow",S08000031,S37000034,NA,S12000049,NA,S02001922,NA,S01010209,NA,261028,668876,Yes
153,G614H,Orchard View,PA16 0XN,"Inverclyde Adult and Older Peoples, Continuing Care Hospital, Larkfield Road, Greenock",S08000031,S37000017,NA,S12000018,NA,S02002041,NA,S01010856,NA,224623,675930,Yes
154,G615H,The Mary Aitkenhead Centre,G81 1EG,"St Margaret's Hospice, East Barns Street, Clydebank",S08000031,S37000029,NA,S12000039,NA,S02002460,NA,S01013125,NA,250920,669408,Yes
155,C101H,Argyll and Bute Hospital,PA31 8LD,"Blarbuie Road, Lochgilphead",S08000022,S37000004,NA,S12000035,NA,S02001376,NA,S01007317,NA,186468,687785,NA
156,C106H,Cowal Community Hospital,PA23 7RL,"360 Argyll Street, Dunoon",S08000022,S37000004,NA,S12000035,NA,S02001385,NA,S01007365,NA,217324,677908,NA
157,C108H,Islay Hospital,PA43 7JD,"Gortonvogie Road, Bowmore, Isle of Islay",S08000022,S37000004,NA,S12000035,NA,S02001378,NA,S01007327,NA,131615,659676,NA
158,C113H,Victoria Hospital,PA20 9JJ,"High Street, Rothesay",S08000022,S37000004,NA,S12000035,NA,S02001382,NA,S01007348,NA,208723,663909,NA
159,C114H,Victoria Hospital Annexe,PA20 9JH,"Townhead, Rothesay",S08000022,S37000004,NA,S12000035,NA,S02001382,NA,S01007348,NA,208772,663527,NA
160,C121H,Lorn & Islands Hospital,PA34 4HH,"Glengallan Road, Oban",S08000022,S37000004,NA,S12000035,NA,S02001371,NA,S01007291,NA,185665,728549,NA
161,C122H,Campbeltown Hospital,PA28 6LE,"Ralston Road, Campbeltown",S08000022,S37000004,NA,S12000035,NA,S02001380,NA,S01007337,NA,172003,619995,NA
162,H101H,Dunbar Hospital,KW14 7XE,"Thurso, Caithness",S08000022,S37000016,NA,S12000017,NA,S02002030,NA,S01010797,NA,310580,967264,NA
163,H103H,Caithness General Hospital,KW1 5NS,"Cliff Road, Wick",S08000022,S37000016,NA,S12000017,NA,S02002027,NA,S01010781,NA,336130,950861,NA
164,H104H,Wick Town and County Hospital,KW1 5NQ,"Hospital Road, Wick, Caithness",S08000022,S37000016,NA,S12000017,NA,S02002027,NA,S01010780,NA,335965,949904,NA
165,H106H,Lawson Memorial Hospital,KW10 6SS,"Station Road, Golspie",S08000022,S37000016,NA,S12000017,NA,S02002025,NA,S01010766,NA,282528,899920,NA
166,H201H,RNI Community Hospital,IV3 5SF,"Ness Walk, Inverness",S08000022,S37000016,NA,S12000017,NA,S02002000,NA,S01010631,NA,266262,844463,NA
167,H202H,Raigmore Hospital,IV2 3UJ,Inverness,S08000022,S37000016,NA,S12000017,NA,S02001998,NA,S01010624,NA,268618,844740,NA
168,H208H,Nairn Town and County Hospital,IV12 5EE,"Cawdor Road, Nairn",S08000022,S37000016,NA,S12000017,NA,S02001986,NA,S01010556,NA,288120,855775,NA
169,H210H,Ian Charles Community Hospital,PH26 3HR,"Castle Road East, Grantown-on-Spey",S08000022,S37000016,NA,S12000017,NA,S02001984,NA,S01010546,NA,303534,828518,NA
170,H211H,St Vincent's Hospital,PH21 1EX,"Gynack Road, Kingussie",S08000022,S37000016,NA,S12000017,NA,S02001982,NA,S01010533,NA,275425,801182,NA
171,H212H,Belford Hospital,PH33 6BS,"Belford Road, Fort William",S08000022,S37000016,NA,S12000017,NA,S02001980,NA,S01010522,NA,210613,774069,NA
172,H213H,Glencoe Hospital,PH49 4HT,"Glencoe, Ballachulish, Argyll",S08000022,S37000016,NA,S12000017,NA,S02001981,NA,S01010525,NA,210346,759082,Yes
173,H214H,Mackinnon Memorial Hospital,IV49 9AA,"Broadford, Isle of Skye",S08000022,S37000016,NA,S12000017,NA,S02002008,NA,S01010673,NA,164000,823875,NA
174,H215H,Portree Hospital,IV51 9BZ,"Portree, Isle of Skye",S08000022,S37000016,NA,S12000017,NA,S02002009,NA,S01010679,NA,148283,843314,NA
175,H217H,Ross Memorial Hospital,IV15 9QT,"Ferry Road, Dingwall",S08000022,S37000016,NA,S12000017,NA,S02002017,NA,S01010716,NA,255614,858620,NA
176,H219H,County Community Hospital Invergordon,IV18 0JR,Invergordon,S08000022,S37000016,NA,S12000017,NA,S02002021,NA,S01010744,NA,271838,869426,NA
177,H221H,Osprey House,IV2 3DZ,"Raigmore Avenue, Inverness",S08000022,S37000016,NA,S12000017,NA,S02001998,NA,S01010624,NA,268365,844797,Yes
178,H223H,New Craigs Hospital,IV3 8PJ,"Leachkin Road, Inverness",S08000022,S37000016,NA,S12000017,NA,S02002004,NA,S01010650,NA,263973.4,844332.7,NA
179,H224H,Mid-Argyll Community Hospital and Integrated Care Centre,PA31 8JZ,"Lochgilphead, Argyll",S08000022,S37000004,NA,S12000035,NA,S02001376,NA,S01007317,NA,187170,688509,NA
180,H225H,Dunaros Community Hospital,PA72 6JF,"Salen, Isle of Mull, Argyll",S08000022,S37000004,NA,S12000035,NA,S02001370,NA,S01007285,NA,157231,742923,Yes
181,H226H,Migdale Hospital,IV24 3ER,"Cherry Grove, Bonar Bridge, Sutherland",S08000022,S37000016,NA,S12000017,NA,S02002024,NA,S01010763,NA,261211.55,891509.96,NA
182,H227H,Mull and Iona Community Hospital,PA65 6BH,"Java Road, Craignure, Isle Of Mull",S08000022,S37000004,NA,S12000035,NA,S02001370,NA,S01007288,NA,171280,738116,Yes
183,H228H,Badenoch and Strathspey Community Hospital,PH22 1AJ,"Cairnview Road, Aviemore",S08000022,S37000016,NA,S12000017,NA,S02001983,NA,S01010539,NA,289985.59,813433.56,NA
184,H230H,National Treatment Centre,IV2 5NA,"Inverness Campus, Inverness",S08000022,S37000016,NA,S12000017,NA,S02001991,NA,S01010582,NA,269283,845115,NA
185,L103H,Coathill Hospital,ML5 4DN,"Hospital Street, Coatbridge",S08000032,S37000035,NA,S12000050,NA,S02002171,NA,S01011570,NA,273258,663570,NA
186,L104H,Victoria Memorial Cottage Hospital,G65 9AG,"19 Glasgow Road, Kilsyth",S08000032,S37000035,NA,S12000050,NA,S02002211,NA,S01011797,NA,270934,677913,NA
187,L105H,Wester Moffat Hospital,ML6 8LW,"Towers Road, Airdrie",S08000032,S37000035,NA,S12000050,NA,S02002182,NA,S01011628,NA,278644,665669,NA
188,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",S08000032,S37000035,NA,S12000050,NA,S02002186,NA,S01011652,NA,274962,665442,NA
189,L203H,Cleland Hospital,ML1 5NR,"Cleland, Motherwell, Lanarkshire",S08000032,S37000035,NA,S12000050,NA,S02002150,NA,S01011451,NA,280549,658367,NA
190,L204H,Hartwoodhill Hospital,ML7 4LA,"Hartwood, Shotts",S08000032,S37000035,NA,S12000050,NA,S02002146,NA,S01011429,NA,284273,658958,Yes
191,L206H,Kello Hospital,ML12 6AF,"Johns Loan, Biggar",S08000032,S37000028,NA,S12000029,NA,S02002355,NA,S01012576,NA,304351,637599,NA
192,L207H,Lady Home Cottage Hospital,ML11 0RH,"Douglas, Lanark",S08000032,S37000028,NA,S12000029,NA,S02002368,NA,S01012638,NA,284094,630932,NA
193,L209H,Lockhart Hospital,ML11 7RX,"Whitelees Road, Lanark",S08000032,S37000028,NA,S12000029,NA,S02002366,NA,S01012628,NA,289409,643247,NA
194,L211H,Roadmeetings Hospital,ML8 4PS,"Roadmeetings, Carluke",S08000032,S37000028,NA,S12000029,NA,S02002363,NA,S01012617,NA,286252,649954,Yes
195,L213H,Strathclyde Hospital,ML1 3BW,"Crawford Street, Motherwell",S08000032,S37000035,NA,S12000050,NA,S02002156,NA,S01011478,NA,274539,656388,Yes
196,L216H,Kirklands Hospital,G71 8BB,"Fallside Road, Bothwell",S08000032,S37000028,NA,S12000029,NA,S02002400,NA,S01012806,NA,270699,659552,NA
197,L218H,Airbles Road Centre,ML1 2TJ,"Airbles Road, Motherwell",S08000032,S37000035,NA,S12000050,NA,S02002138,NA,S01011380,NA,275714,656143,NA
198,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",S08000032,S37000028,NA,S12000029,NA,S02002427,NA,S01012955,NA,260668,654078,NA
199,L304H,Stonehouse Hospital,ML9 3NT,"Strathaven Road, Stonehouse",S08000032,S37000028,NA,S12000029,NA,S02002376,NA,S01012678,NA,274892,646122,NA
200,L305H,Udston Hospital,ML3 9LA,"Farm Road, Hamilton",S08000032,S37000028,NA,S12000029,NA,S02002395,NA,S01012774,NA,269573,655744,NA
201,L306H,Coathill House,ML5 5EA,"3 Old Monkland Road, Coatbridge",S08000032,S37000035,NA,S12000050,NA,S02002171,NA,S01011569,NA,272763,663577,NA
202,L307H,Beckford Lodge,ML3 0AZ,"Caird Street, Hamilton",S08000032,S37000028,NA,S12000029,NA,S02002398,NA,S01012794,NA,271358,656250,NA
203,L308H,University Hospital Wishaw,ML2 0DP,"50 Netherton Street, Wishaw",S08000032,S37000035,NA,S12000050,NA,S02002139,NA,S01011387,NA,278294,655081,NA
204,L395E,Red Deer Centre/Day Hospital,G75 8NH,"Alberta Avenue, Westwood, East Kilbride",S08000032,S37000028,NA,S12000029,NA,S02002433,NA,S01012987,NA,262227,653812,NA
205,S102H,Belhaven Hospital,EH42 1TR,"Hospital Road, Dunbar",S08000024,S37000010,NA,S12000010,NA,S02001554,NA,S01008286,NA,366560,678231,NA
206,S103H,Corstorphine Hospital,EH12 6TT,"136 Corstorphine Road, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001679,NA,S01008973,NA,320690,672942,NA
207,S107H,Edenhall Hospital,EH21 7TZ,"Edenhall Road, Musselburgh",S08000024,S37000010,NA,S12000010,NA,S02001538,NA,S01008190,NA,335375,672016,NA
208,S108H,Edington Cottage Hospital,EH39 4PU,"54 St Baldred's Road, North Berwick",S08000024,S37000010,NA,S12000010,NA,S02001552,NA,S01008273,NA,355361,684972,NA
209,S109H,Herdmanflat Hospital,EH41 3BU,"Aberlady Road, Haddington",S08000024,S37000010,NA,S12000010,NA,S02001548,NA,S01008253,NA,350897,674417,NA
210,S114H,Royal Victoria Hospital,EH4 2DN,"13 Craigleith Road, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001663,NA,S01008887,NA,323113,674643,NA
211,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001663,NA,S01008890,NA,323004,674999,NA
212,S201H,Astley Ainslie Hospital,EH9 2HL,"Grange Loan, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001615,NA,S01008624,NA,325280,671364,NA
213,S203H,Chalmers Hospital,EH3 9HQ,"55 Lauriston Place, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001621,NA,S01008667,NA,325251,673042,NA
214,S206H,Edinburgh Dental Institute,EH3 9HA,"4th Floor, Lauriston Building, Lauriston Place, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001621,NA,S01008667,NA,325251,672987,Yes
215,S209H,Liberton Hospital,EH16 6UB,"Lasswade Road, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001606,NA,S01008575,NA,327952,669029,NA
216,S217H,Royal Edinburgh Hospital,EH10 5HF,"23 Tipperlinn Road, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001616,NA,S01008632,NA,324125,671126,NA
217,S232H,Cambridge Street Day Centre,EH1 2DY,"5/7 Cambridge Street, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001620,NA,S01008660,NA,324822,673413,NA
218,S234H,William Fraser Centre,EH10 5HF,"Tipperlinn Road, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001616,NA,S01008632,NA,324124,671127,Yes
219,S235H,The Islay Centre,EH10 5HF,"Tipperlinn Road, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001616,NA,S01008632,NA,324124,671127,Yes
220,S240H,Glencorse Day Centre,EH26 0QZ,"Milton Mill, Milton Bridge, Penicuik",S08000024,S37000018,NA,S12000019,NA,S02002056,NA,S01010956,NA,325521,662255,Yes
221,S241H,Bonnyrigg Day Centre,EH22 4RT,"Old Library, Bonnyrigg",S08000024,S37000018,NA,S12000019,NA,S02002070,NA,S01011032,NA,333603,664899,Yes
222,S243H,Ballenden House,EH8 9HL,"28/32 Howden Street, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001623,NA,S01008681,NA,326256,673008,NA
223,S305H,St Michael's Hospital,EH49 6QS,"Edinburgh Road, Linlithgow",S08000024,S37000030,NA,S12000040,NA,S02002507,NA,S01013441,NA,301041,676913,NA
224,S306H,Tippethill Hospital,EH48 3BQ,"Bathgate, West Lothian",S08000024,S37000030,NA,S12000040,NA,S02002499,NA,S01013380,NA,294512,666131,NA
225,S307H,Whitburn Day Hospital,EH47 0SD,"1 Weavers Lane, Whitburn",S08000024,S37000030,NA,S12000040,NA,S02002498,NA,S01013376,NA,294398,665053,Yes
226,S308H,St John's Hospital,EH54 6PP,"Howden West, Livingston, West Lothian",S08000024,S37000030,NA,S12000040,NA,S02002488,NA,S01013309,NA,305077,667692,NA
227,S309H,Inchkeith House,EH6 8NP,"137 Leith Walk, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001644,NA,S01008796,NA,326855,675636,NA
228,S310H,Ferryfield House,EH5 2HF,"100 Pilton Drive, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001667,NA,S01008911,NA,323303,676130,Yes
229,S311H,Bathgate House Day Hospital,EH48 4PJ,"15 North Bridge Street, Bathgate",S08000024,S37000030,NA,S12000040,NA,S02002504,NA,S01013414,NA,297352,668862,NA
230,S312H,Learning Disabilities Service Healthcare Houses,EH10 5EZ,Lothian,S08000024,S37000012,NA,S12000036,NA,S02001616,NA,S01008632,NA,324295,671309,Yes
231,S313H,Ellen's Glen House,EH16 6FF,"72 Carnbee Avenue, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001606,NA,S01008574,NA,328227,669094,Yes
232,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001627,NA,S01008704,NA,327699,669148,NA
233,S315H,Findlay House,EH6 7LG,"Seafield Street, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001640,NA,S01008768,NA,328660,675606,NA
234,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001621,NA,S01008667,NA,325252,672986,NA
235,S317H,Whitburn House,EH47 0DD,"12/14 The Avenue, Whitburn, Bathgate, West Lothian",S08000024,S37000030,NA,S12000040,NA,S02002498,NA,S01013374,NA,294519,664643,NA
236,S318H,Midlothian Community Hospital,EH22 3ND,"70 Eskbank Road, Dalkeith, Midlothian",S08000024,S37000018,NA,S12000019,NA,S02002063,NA,S01010996,NA,331897,665770,Yes
237,S319H,Royal Hospital for Children and Young People,EH16 4TJ,"50 Little France Crescent, Edinburgh",S08000024,S37000012,NA,S12000036,NA,S02001604,NA,S01008568,NA,NA,NA,NA
238,S320H,East Lothian Community Hospital,EH41 3PF,"Alderson Road, Haddington",S08000024,S37000010,NA,S12000010,NA,S02001548,NA,S01008252,NA,350336,674073,Yes
239,D101H,State Hospital,ML11 8RP,Carstairs,SB0802,NA,z,NA,z,NA,z,NA,z,296304,645949,NA
240,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",SB0801,NA,z,NA,z,NA,z,NA,z,248478,670809,NA
241,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",S08000025,S37000022,NA,S12000023,NA,S02002215,NA,S01011817,NA,344590,1010016,Yes
242,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",S08000026,S37000026,NA,S12000027,NA,S02002324,NA,S01012395,NA,446981,1141029,NA
243,T101H,Ninewells Hospital,DD1 9SY,Dundee,S08000030,S37000007,NA,S12000042,NA,S02001446,NA,S01007694,NA,339005.12,730389.6,NA
244,T104H,Kings Cross Hospital,DD3 8EA,"Clepington Road, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001468,NA,S01007825,NA,339391,732165,NA
245,T107H,Royal Victoria Hospital,DD2 1SP,"Jedburgh Road, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001445,NA,S01007684,NA,337629,730504,NA
246,T113H,Dundee Dental Hospital,DD1 4HR,"2 Park Place, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001446,NA,S01007691,NA,339742,730011,NA
247,T115H,Strathmartine Hospital,DD3 0PG,"Strathmartine, Dundee",S08000030,S37000003,NA,S12000041,NA,S02001344,NA,S01007133,NA,338323,735165,NA
248,T116H,Armitstead Child Development Centre,DD3 8EA,"Kings Cross Hospital, Clepington Road, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001468,NA,S01007825,NA,339322,732161,Yes
249,T120H,Hawkhill Day Hospital,DD1 5LB,"Peddie Street, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001446,NA,S01007693,NA,338960,729885,NA
250,T121H,Dundonald Centre,DD3 7PY,"Unit 9a Manhattan Works, Dundonald Street, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001452,NA,S01007726,NA,340847,731565,Yes
251,T122H,Dudhope House (Young Persons Unit),DD3 6HH,"15 Dudhope Terrace, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001447,NA,S01007700,NA,339328,730688,NA
252,T123H,Royal Victoria Day Hospital,DD2 1SP,"Royal Victoria Hospital, Jedburgh Road, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001445,NA,S01007684,NA,337628,730505,Yes
253,T202H,Perth Royal Infirmary,PH1 1NX,"Taymount Terrace, Perth",S08000030,S37000033,NA,S12000048,NA,S02002231,NA,S01011898,NA,310411,723623,NA
254,T205H,St Margaret's Hospital,PH3 1JH,"Western Road, Auchterarder",S08000030,S37000033,NA,S12000048,NA,S02002223,NA,S01011854,NA,293688,712587,NA
255,T207H,Aberfeldy Cottage Hospital,PH15 2DH,"Old Crieff Road, Aberfeldy",S08000030,S37000033,NA,S12000048,NA,S02002253,NA,S01012015,NA,285932,748951,NA
256,T209H,Blairgowrie & Rattray Cottage Hospital,PH10 6EE,"Perth Road, Blairgowrie",S08000030,S37000033,NA,S12000048,NA,S02002249,NA,S01011991,NA,317409,744585.83,NA
257,T215H,Murray Royal Hospital,PH2 7BH,"Muirhall Road, Perth",S08000030,S37000033,NA,S12000048,NA,S02002240,NA,S01011945,NA,312939.65,724017.75,NA
258,T221H,Scone Day Hospital,PH2 6LE,"Birch Avenue, Scone",S08000030,S37000033,NA,S12000048,NA,S02002241,NA,S01011950,NA,313174,726281,Yes
259,T304H,Arbroath Infirmary,DD11 2AT,"Rosemount Road, Arbroath",S08000030,S37000003,NA,S12000041,NA,S02001352,NA,S01007181,NA,363406,740444,NA
260,T305H,Brechin Infirmary,DD9 7AN,"Infirmary Street, Brechin",S08000030,S37000003,NA,S12000041,NA,S02001361,NA,S01007234,NA,360207,760462,NA
261,T309H,Little Cairnie Hospital,DD11 3RA,"Forfar Road, Arbroath",S08000030,S37000003,NA,S12000041,NA,S02001351,NA,S01007174,NA,362737,741929,NA
262,T310H,Montrose Royal Infirmary,DD10 8AJ,"Bridge Street, Montrose",S08000030,S37000003,NA,S12000041,NA,S02001357,NA,S01007208,NA,371045,757440,NA
263,T312H,Stracathro Hospital,DD9 7QA,By Brechin,S08000030,S37000003,NA,S12000041,NA,S02001359,NA,S01007225,NA,362591,764986,NA
264,T313H,Whitehills Hospital,DD8 3DY,By Forfar,S08000030,S37000003,NA,S12000041,NA,S02001364,NA,S01007252,NA,346655,751499,Yes
265,T314H,Gowanlea,DD11 5DX,"Seaton Road, Arbroath",S08000030,S37000003,NA,S12000041,NA,S02001353,NA,S01007189,NA,364826,741428,NA
266,T316H,Crieff Community Hospital,PH7 3HR,"King Street, Crieff",S08000030,S37000033,NA,S12000048,NA,S02002226,NA,S01011870,NA,286317.24,721263.23,NA
267,T317H,Carseview Centre,DD2 1NH,"4 Tom McDonald Avenue, Medipark, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001471,NA,S01007839,NA,335664,730633,NA
268,T319H,Whitehills Health and Community Care Centre,DD8 3DY,By Forfar,S08000030,S37000003,NA,S12000041,NA,S02001364,NA,S01007252,NA,346619,751376,NA
269,T320H,Pitlochry Community Hospital,PH16 5FG,"Ferry Road, Pitlochry, Perthshire",S08000030,S37000033,NA,S12000048,NA,S02002252,NA,S01012010,NA,293727,757986,NA
270,T321H,Perth Dental Hospital,PH1 1RA,"Broxden Business Park, Perth",S08000030,S37000033,NA,S12000048,NA,S02002232,NA,S01011899,NA,308335.46,723095.85,NA
271,T322H,Kingsway Care Centre,DD2 3PT,"Kings Cross Road, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001468,NA,S01007826,NA,338477.08,732101.69,NA
272,T323H,Bluebell Intermediate Care Unit,DD2 5JB,"Riverside View Nursing Home, 60 Clovis Duveau Drive, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001475,NA,S01007869,NA,335404,730180,Yes
273,T324H,Dudhope Young Peoples Inpatient Unit,DD3 6HH,"17 Dudhope Terrace, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001447,NA,S01007700,NA,339112,730878,Yes
274,T325H,CAMHS Hospital Unit,DD3 6HH,"17 Dudhope Terrace, Dundee",S08000030,S37000007,NA,S12000042,NA,S02001447,NA,S01007700,NA,339389,730741,NA
275,W106H,St Brendans Cot Hospital,HS9 5XE,"Horve, Isle of Barra",S08000028,S37000031,NA,S12000013,NA,S02001687,NA,S01009014,NA,65926,797989,NA
276,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",S08000028,S37000031,NA,S12000013,NA,S02001694,NA,S01009045,NA,142692,934195,NA
277,W108H,Uist & Barra Hospital,HS7 5LA,"Balivanich, Isle of Benbecula",S08000028,S37000031,NA,S12000013,NA,S02001688,NA,S01009020,NA,77740,855235,NA
